fa,la
Christian L. Roth, Andreas Ferbert
Rodrigo Bagur, Josep Rodés-Cabau
Harajeshwar S. Kohli, Keyur B. Shah
Salim S. Virani, Vijay Nambi
Cosme García-García, Roberto Elosua
Yuan Liu, Hung-Fat Tse
Derek Yung, Douglas S. Lee
Ralph A.H. Stewart,Ralph A.H. Stewart
Henrique Grinberg, Edimar Alcides Bocchi
Mario Nosotti, Luigi Santambrogio
Jerzy-Roch Nofer,Jerzy-Roch Nofer
C.D. Karkos, Rob D. Sayers
Ok-Joon Kim, Nam Keun Kim
Shaine A. Morris, Ronald V. Lacro
Patricia J.M. Best, Bonnie H. Weiner
Warren A. Zuckerman, Erika B. Rosenzweig
Konstantinos P. Donas, Dimitrios K. Papadimitriou
Harold L. Dauerman, Robert J. Applegate
Domenico Sarandria, Guglielmo Stefanelli
Claudia Stöllberger, Josef Finsterer
Tania Janaudis-Ferreira, Dina Brooks
Jeffrey B. Geske, Rick A. Nishimura
Kamran Ahrar, R. Jason Stafford
Maurice R. “Pat” Berdan, Lisa G. Berdan
Omer Yiginer, Bekir Sıtkı Cebeci
James D. Fett,James D. Fett
Kenan Yalta, Ertan Yetkin
Andrew P. Carlson, Edwin M. Nemoto
Victoria J. McIntosh, Robert D. Lasley
Mehmet Karacan, Haşim Olgun
Ellen S. Regalado, Dianna M. Milewicz
Renata Cifkova,Renata Cifkova
Klaus Ley, Catherine C. Hedrick
Michele Brignole, Régis Guieu
Andrea Sarkozy, Pedro Brugada
Gabriella Malfatto, Gianfranco Parati
Yeun Ying Wong, Anton Vonk-Noordegraaf
Dennis T. Ko, Jack V. Tu
S. Walker, Nick Sevdalis
Xiaoquan Rao, Cong-Yi Wang
Yuichi Saito, Eishin Hoshi
Bryan Ristow, Nelson B. Schiller
Shen Tian, Yu-Feng Ren
Yaariv Khaykin, Aleksandre T. Sambelashvili
Melvyn Rubenfire, Elif A. Oral
Norikazu Yamada, Masaaki Ito
Paolo Angelini, Christine E. Lawless
Hyunjung Lim, Sehyun Shin
Vaidotas Marozas, Arunas Lukosevicius
Xiangyang Zhu, Lilach O. Lerman
Euitae Kim, Jun Soo Kwon
Oluseun Alli, David R. Holmes
Anja M. van der Laan, Niels van Royen
Arantxa González, Javier Díez
Daniel F. J. Ketelhuth, Zhong-qun Yan
Bonnie Ky, Thomas P. Cappola
Stephen H. McKellar, Thoralf M. Sundt
Katarina Nikolic, Danica Agbaba
Parvaiz A Koul, Asrar Ahmad
Neil Ruparelia, Robin P. Choudhury
Matthew R. Locher, Richard L. Moss
Aim-High Investigators,Aim-High Investigators
Joram Ronel, Karin Meissner
Guido Carlomagno, Serafino Fazio
Francisco R. Breijo-Marquez,Francisco R. Breijo-Marquez
Roger A. Winkle, Rob A. Patrawala
Ali J. Marian, John W. Belmont
Siu-Sun Yao, Farooq A. Chaudhry
Kenneth W. Mahaffey, Lars Wallentin
Thomas A. Dewland, Paul D. Varosy
Damien J. LaPar, Irving L. Kron
M. Agustina Sciancalepore, Victor Mor-Avi
Björn Pasternak, Anders Hviid
Aaron B. Holley, Anita A. Shah
Maciej Sosnowski, Michal Tendera
Zachary Laksman, Peter P. Liu
Rodrigo Bagur, Eric Dumont
DaLi Feng, Jae K. Oh
Joseph Yeboah, Gregory L. Burke
Anders Håkansson, Anders Wanhainen
Hyang Mo Koo, Tae Hyun Yoo
Ryo Naito, Shin-ichi Momomura
Lisa C. Heather, Kieran Clarke
Silvia Ferronato, Sara Mazzucco
Natalie E. West, Michael P. Boyle
Carolyn T. Spencer, W. Todd Cade
Sanjay Dixit, Edward P. Gerstenfeld
Robert S. Bonser, Ernst Weigang
Pilar Tornos, Gilbert Habib
Madelein T. Hoogwegt, Susanne S. Pedersen
Li Wan, Omer Van den Bergh
Gian Paolo Ussia, Corrado Tamburino
Michael R. Jaff, Brenda K. Zierler
Sithu Win, Roy C. Ziegelstein
Gilles R. Dagenais, Robert L. Frye
David W. Dunstan, Genevieve N. Healy
W. Lane Duvall, Milena J. Henzlova
Ruslan Hlushchuk, Valentin Djonov
Jill A. Rafael-Fortney, Subha V. Raman
Buddy D. Ratner,Buddy D. Ratner
Pradeep Natarajan, Christopher P. Cannon
Kazunori Miyazaki, Koji Abe
Qian Ma, Xiaohan Xu
Michael C. Soulen,Michael C. Soulen
Yakup Ergul, Rukiye Eker Omeroglu
G.V.R. Born, Peter D. Richardson
Vinay Bhaskar, Seema Kantak
Rodolfo V. Rocha, Christian Bermudez
Javier T. Granados-Riveron, J. David Brook
Carlos Alberto Engelhorn, S X Salles-Cunha
Roberto Verlato, Giorgio Corbucci
Simon A. Mahler, Chadwick D. Miller
Niamh Hannon, Peter J. Kelly
Anna Vittoria Mattioli, Alberto Farinetti
Victoria Rusanov, David Shitrit
Jesse J. Lugus, Kenneth Walsh
R. Mark Payne, Clifford M. Babbey
Elizabeth Kozora, Barry J. Make
Francesco F. Faletra, Siew Yen Ho
Klaus T Preissner, Ute Reuning
Poonam Velagapudi, Abraham Kocheril
Raffaella Lombardi, Ali J. Marian
Anthony P. Morise,Anthony P. Morise
Nikhil Singh, Jonathan A. Epstein
F. L. Meijler, T. D. Meijler
María C. Zuluaga, Fernando Rodríguez-Artalejo
Stephanie Tolentino, Manish S. Lavhale
Michael C. Kontos, Matthew T. Roe
Ph. Gabriel Steg, Christopher B. Granger
Lucas V.A. Boersma, Lluís Mont
Adrian V. Hernandez, J. Jaime Miranda
Jonathan K. Joshi, Marcus F. Stoddard
Wendy K. Chung, Barry J. Maron
Laura L. Hayman, Lynne T. Braun
Yüksel Doğan, Günay Can
Brian Clarke, Ratika Parkash
Mortimer Korf-Klingebiel, Kai C. Wollert
Hans Zoellner,Hans Zoellner
Anand Iyer, Sanjay Sharma
Beatriz Vaquerizo, Imanol Otaegui
George Vretzakis, Menelaos Karanikolas
Surinder Janda, John R. Swiston
Ali F. AbuRahma, Joseph H. Habib
Tiago A. Magalhães, Carlos E. Rochitte
Marjaneh Fatemi, Yves Etienne
Guido Claessen, Hein Heidbuchel
K. Miles, Carmel M. McEniery
Shahrokh Javaheri, Laura F. Wexler
Takeyoshi Ota, Christian Bermudez
Debbie A. Lawlor, Niklas Långström
Kurt Ruetzler, Bernhard Roessler
Francesco Petrella, Lorenzo Spaggiari
Hulya Karatas, Turgay Dalkara
Gianluca Pontone, Mauro Pepi
Fen Wei, Yuhua Liao
Jens Cosedis Nielsen, Henning Rud Andersen
James H. Walters, Jerry P. Nolan
Selcen Yaroglu Kazanci, Doff B. McElhinney
Luis A. García Rodríguez, Saga Johansson
Gloria Lena Vega, Scott M. Grundy
Suk Min Seo, Ki-Bae Seung
Robert Wardrop,Robert Wardrop
Burke A. Cunha, Jean E. Hage
Tingting Tang, Xiang Cheng
Farhan Bhanji, Jasmeet Soar
Pontus Dunér, Eva Bengtsson
Satoshi Hoshide, Kazuomi Kario
J. Timothy Baldwin, William J. Weiss
Martina Delbeck, Georges Von Degenfeld
Sami Kajander, Juhani Knuuti
Moriel H. Vandsburger, Frederick H. Epstein
Thomas G. Brott, Allen J. Taylor
Edward A. Gill, Joel D. Kaufman
Gang Wang, Cheuk-Chun Szeto
Hicham Skali, Marc A. Pfeffer
Emma Eade, Andrew Mitchell
Edward D. Frohlich, Dinko Susic
Dirk J. van Veldhuisen, Martin Borggrefe
Oliver Husser, Àngel Llàcer
Sebastian Gehmert, Lukas Prantl
Kwang-Hee Shin, Kyung Sang Yu
EC Hoggar, T J Chico
Georgina M. Ellison, Daniele Torella
Anthony Demaria,Anthony Demaria
Marta Rubiera, Carlos A. Molina
Levent Sahin, Sıtkı Göksu
Joseph A. Ladapo, Matthew R. Reynolds
Ju Yong Lim, Seung Hyun Lee
Aibek E. Mirrakhimov, Erkin M. Mirrakhimov
Balaji Pratap, Aleksandr Korniyenko
Semih Buz, Roland Hetzer
Cédric Collin, Dominique P. Germain
Iacopo Fabiani, Leonardo Bolognese
Meltem Refiker,Meltem Refiker
Lisa Kuhn, Linda Worrall-Carter
Thomas J. Wang,Thomas J. Wang
James K. Liao,James K. Liao
Amit Pursnani, Monvadi B. Srichai
Daniela Trabattoni, Antonio L. Bartorelli
Lukas J. Motloch, Uta C. Hoppe
Suzanne Hughes, Cheryl Dennison Himmelfarb
Masao Daimon, Junichi Yoshikawa
Juyong Brian Kim, Diana M. Shih
M. Adnan Nadir, Chim C. Lang
Stéphan Haulon, Roy K. Greenberg
Olivier Morel, Patrick Ohlmann
Isabelle C. Van Gelder, Ulrika Birgersdotter-Green
Jun Gu, Yuanlong Wang
Glenn N. Levine, Henry H. Ting
Nassiba Merabet, Paul Mulder
Christian Templin, Firat Duru
Thomas Grieskamp, Andreas Kispert
Marc Fisher, Joseph Loscalzo
Masood Sadiq, Shakeel A. Qureshi
James H. O'Keefe, Loren Cordain
Hopewell N. Ntsinjana, Andrew M. Taylor
Dan Yan, Qiurong Ruan
Dariush Mozaffarian, Linda Van Horn
Christoph A. Nienaber, Rossella Fattori
In Jeong Cho, Jong-Won Ha
Anna R. Hemnes, John H. Newman
Irene Savelieva, A. John Camm
George A. Mensah, George L. Bakris
Jonathan M Raser, Brett Cucchiara
Jonathan R. Carapetis, Liesl Zühlke
Tin Kyaw, Ban-Hock Toh
Hui Cheng, Thomas Force
Paul Sorajja, Charanjit S. Rihal
Marvin A. Konstam, Mihai Gheorghiade
Melina Gattellari, John M. Worthington
Tobias E. Herrscher, Arne Westheim
Salvatore Azzarelli, Antonio Fiscella
Janet Bray, Karen Smith
Toshiharu Azma, Hirosato Kikuchi
Valeria N. Figueiredo, Heitor Moreno
Thomas Modine, Pascal Leprince
Sharayne Mark, Michael W. Fong
Johnny Vegsundvåg, Torstein Hole
Ayelet Cohen-Yeshurun, Ronen R. Leker
Monvadi B. Srichai,Monvadi B. Srichai
Yaron Goren, Offer Amir
Motoki Yano, Yoshitaka Fujii
Pascal M. Dohmen, Wolfgang Konertz
Sue Jowett, FD Richard Hobbs
Xiaofeng Kang, Marie T. Nolan
Michal Droppa, Holger Thiele
Brittany Sowell, Vladimir G. Fast
Robert D. Reid, Andrew L. Pipe
Sam Birnbaum,Sam Birnbaum
Robbin G. Cohen, Eric T. Bourne
Cheng-Hui Xie, Xianli Wu
Timothy J. Mathews, Joel Dunning
Gaetano Antonio Lanza, Filippo Crea
Michael J. Bonios, John N. Nanas
Carlos Escobar, Cecilia Roldán
D. Cugino, A. Di Castelnuovo
Huidong Liu, Yafang Zhang
Damien Kenny, Chris Cain
Anne M. Gillis, Paul Dorian
Mihaela S. Stefan, Robert J. Goldberg
Ahmet Karabulut, Ahmet Bilici
J. Orbe, José A. Páramo
Lourens Bester, David L. Morris
Hao-Chang Chou, Shyr-Chyr Chen
Eltyeb Abdelwahid, Gianluigi Condorelli
Joseph Huang, David Fridman
Ufuk Cobanoglu, Duygu Mergan
Guenther Silbernagel, Winfried März
A. Ross Naylor,A. Ross Naylor
Adriana Silveira de Almeida, Orlando Carlos Belmonte Wender
Marco Valgimigli,Marco Valgimigli
Patricia Casas-Agustench, Jordi Salas-Salvadó
Andrés Ricardo Pérez Riera, F.A.C.C. Adrian Baranchuk
Kurudamannil A. Abraham, Margaret D'Mello
Junren Zhu, Deborah L. Keefe
Toru Hosoda, Annarosa Leri
Woan Ching Jan, Chun Jen Huang
Jeffrey J. Saucerman, Donald M. Bers
Syed Wamique Yusuf, Jean-Bernard Durand
Prem Prakash, Madhu Dikshit
Nobukiyo Tanaka, Shinji Yokoyama
Luis Nombela-Franco, Alonso-Pulpón Luis
Katarzyna Januszewska, Edward Malec
Antonios P. Gasparis, Apostolos K. Tassiopoulos
Sawa Kostin,Sawa Kostin
Jonathan S. Reiner, Richard J. Katz
Rahul Bose, Jeffrey M. Schussler
Gregory Y.H. Lip,Gregory Y.H. Lip
John A. Farmer, Joshua Liao
Patrick R. Lawler, Mark J. Eisenberg
Faiez Zannad, Peter Bramlage
Satyendra Giri,Satyendra Giri
Terence J. Quinn, David J. Stott
Meng Lee, Bruce Ovbiagele
Philip J. Barter, John J.P. Kastelein
Jonathan R. Boyle, Robert D. Sayers
Kirsti Skavberg Roaldsen, E Mattsson
Sabina Hunziker, Stephan Marsch
Andriy E. Belevych, Sandor Gyorke
Cornelius F.H. Mueller, Georg Nickenig
Alessandro Giardini, Michael Burch
Takeshi Hirose, Shinya Minatoguchi
John J. Ryan, Stephen L. Archer
Daniel Burkhoff,Daniel Burkhoff
Olivier Muller, Bernard De Bruyne
Rachael A. Evans, Mike Morgan
Giuseppe Musumeci, Marco Valgimigli
Moo Hyun Kim, Sung-Whan Kim
Mark J. Alberts, Michael D. Walker
Carlos Vicente Serrano, Renerio Fraguas
Claudia Bernardi Cesarino, Sirley da Silva Pacheco
Heloisa Sawaya, Marielle Scherrer-Crosbie
Marshall B. Elam, Henry N. Ginsberg
Robert A. Henderson, Adam Timmis
Yuichi J. Shimada, Takahiro Shiota
Tulay Saracoglu, Can Zafer Karaman
Lars Lund, Maria J. Eriksson
Jean-Pierre Becquemin, Jean Marzelle
Silje K. Namtvedt, Torbjørn Omland
Michifumi Tokuda, Roy M. John
Linnea R. Freeman, Ann-Charlotte Granholm
Masaki Mogi, Masatsugu Horiuchi
En C. Fung, Martin A. Crook
Paul D. Sorlie, Gina S. Wei
Ketut Suastika, Hiroshi Taniguchi
Simon F. De Meyer, Christoph Kleinschnitz
Aladar Ronaszeki, Anders Berggren
Susanna C. Larsson, Alicja Wolk
David P. Taggart,David P. Taggart
Tze Fan Chao, Shih Ann Chen
Christopher J. Lockhart, Gary E. McVeigh
Enrique G. Artero, Steven N. Blair
Nikolaus Jander, Christa Gohlke-Bärwolf
Lior U. Elkayam, Gervasio A. Lamas
Christopher Beer, Osvaldo P. Almeida
Shi-Min Yuan, Hua Jing
Rob C. I. Wüst, Harry B. Rossiter
Dan Farbstein, Andrew P. Levy
Sven Martens, Thierry Carrel
Katiuscia Nardi, Giancarlo Agnelli
Roberto De Ponti, Alan Cheng
Nawar Shara, Peter W.F. Wilson
Viviane M. Conraads, Livio Dei Cas
Enrico Fiaccadori, Aderville Cabassi
Michael H. Davidson,Michael H. Davidson
Charles Antzelevitch, Alexander Burashnikov
Rajendra H. Mehta, John H. Alexander
Austin J. Moy, Bernard Choi
Amparo Vayá, Begoña Laiz
Robert A. McDonald, Andrew H. Baker
Frederick G.P. Welt, Andrew C. Eisenhauer
Cornelia Steinmann, Alexandra Martin
Vittorio Maio, Joshua J. Gagne
Mihály K. de Bie, Lieselot van Erven
Chrysafios Girasis, Patrick W. Serruys
Per Lindqvist, Michael Y. Henein
Weiwei Shi, Jakob Vinten-Johansen
Harlan M. Krumholz, Sharon-Lise T. Normand
James K. Min, Todd C. Villines
Tetsuaki Hirase, Koichi Node
V.V. Ravi Kanth, Madireddi Sujatha
Robert S. Hoke, Henning Ebelt
Paolo Zanotti-Fregonara, Robert B. Innis
Mital Desai, George Hamilton
S. Michael Gharacholou, Gregg C. Fonarow
Sebastian Kelle, Matthias Stuber
Maëlenn Guerchet, Pierre-Marie Preux
Massimo Santini, Giuseppe Boriani
Alexandre Russo Sposito, Marcelo Chiara Bertolami
Yukiko Imanishi, Yoshiki Sawa
Jacqueline L Webster, Bruce Neal
Maria Litzendorf, Patrick S. Vaccaro
Jayanthi N. Koneru, Kenneth A. Ellenbogen
Eduardo Gehling Bertoldi, Luis Eduardo Paim Rohde
Athanasios F. Charalampopoulos, Nikolaos I. Nikolaou
Cheryl R. Dennison Himmelfarb, Suzanne Hughes
Christopher Semsarian, null null
Andrew R. Yates, Clifford L. Cua
Giles J. Peek,Giles J. Peek
Sunni L. Mumford, Enrique F. Schisterman
,
Ajita Deodhar, Stephen B. Solomon
Begoña Igual, Antonio Salvador
Jeroen Ludikhuize, Astrid Goossens
Usman Javed, Gregg C Fonarow
Christian D. Etz, Randall B. Griepp
Seiji Habara, Mitsuru Yoshino
Li Chen, Junbao Du
Giuseppe Andò, Giuseppe Oreto
Tapan Bhavsar, John Wurzel
David E. Kandzari, Roxana Mehran
Antonia M.D. Churchhouse, Joel Dunning
Kugathasan Nadarasa, Michael J.A. Williams
Philip C Hawley, Miles P. Hawley
William A. Zoghbi,William A. Zoghbi
Narutoshi Hibino, Richard A. Jonas
Joseph Loscalzo,Joseph Loscalzo
José Ribas Milanez de Campos, Fabio Biscegli Jatene
Nasser Ghaly Yousif, Fadhil G. Al-Amran
Andreas von Leupoldt, Helgo Magnussen
Shoji Sanada, Masafumi Kitakaze
Guilherme F. Attizzani, Hiram G. Bezerra
Sanjay Kalra, Jeffrey L. Roitman
Indroneal Banerjee, Ju Chen
Tao Zhang, Zhongjun J. Wu
Chaim Yosefy, Robert A. Levine
Mélanie Lalancette-Hébert, Jasna Kriz
Mark J Makowsky, Ross T. Tsuyuki
Aliya Siddiqui,Aliya Siddiqui
Michael P. O'Quinn, Robert G. Gourdie
Moreno Cecconi, Gian Piero Perna
Nicolas Mansencal, Olivier Dubourg
Natalia Majewska, Wacław Majewski
Pier Paolo Bassareo, Giuseppe Mercuro
Viviane M. Conraads, Martin R. Cowie
Tadashi Inagami,Tadashi Inagami
Sagui Gavri, Azaria J.J.T. Rein
Mark Fisher, David H. Cribbs
Jose L. Serra, Eduardo Moreyra
Chad Brokopp, Christian M. Matter
Robert J. Moraca, George J. Magovern
L. Auboire, C. Le Hello
Leonardo Bolognese, Dominick J. Angiolillo
Lorenz Räber, Rolf Vogel
Adel Aminian, Badih El Nakadi
Andi Eie Albertsen, Jens Cosedis Nielsen
Benjamin Friedrich, Nikolaus Plesnila
David Holzhey, Friedrich W. Mohr
Marco Matteo Ciccone, Stefano Favale
Fariba Alaei, Ebrahim Soleymani
Arash Harzand, Joshua M. Hare
Kimberly G. Harmon, Jonathan A. Drezner
Arvind Vijayasarathi, Stanley J. Goldberg
Jan-Thorsten Gräsner, Leo Bossaert
Bill D. Gogas, Hector M. Garcia-Garcia
Rodrigo Bagur, Josep Rodés-Cabau
Marco Guazzi, Maurizio D. Guazzi
Heather L. Prichard, Shannon L. M. Dahl
Amy G. Huebschmann, Judy G Regensteiner
Sigmund Silber, Patrick W. Serruys
Vicky Visvanathan,Vicky Visvanathan
Frank Edelmann, Burkert Pieske
Tae-Hun Kim, Edzard Ernst
Lian Duan, Jie Feng
Paul Rankin, Esther Chang
Barry J. Maron, Joseph A. Dearani
Børge G. Nordestgaard, Anne Tybjærg-Hansen
Donald L. Miller, Michael S. Stecker
Noritaka Fujimura, Yukihito Higashi
,
Nicholas J. Cochand, Damian M. Bailey
Ali Vazir, Nicholas R. Banner
Hans-Peter Brunner-La Rocca, Hans Rickli
Lorenza Pratali, Claudio Sartori
Pornpatr A. Dharmasaroja, Permphan Dharmasaroja
Young Jin Kim, Junepill Seok
Suzanne L. Groah, Larry F. Hamm
Haralabos Parissis,Haralabos Parissis
José Luis Ferreiro, Dominick J. Angiolillo
James A. Reiffel,James A. Reiffel
Niranjan Singh, Salvador Cruz-Flores
Regina Espinosa, William Gerin
Ulf Nyman,Ulf Nyman
Özlem Gögebakan, Andreas Pfeiffer
Florian Baptist Freimann, Ingolf Sack
Akin Cam, Samir R. Kapadia
Jesús Peteiro, Alfonso Castro-Beiras
Michael A. Gaglia, Ron Waksman
Carol M. Mason, Cindy Conroy
Salim S. Virani, Christie M. Ballantyne
Lilian Kornet, Richard Cornelussen
Samantha P. Harris, Kristina L. Bezold
Jefferson Curimbaba, João Pimenta
Jean-Claude Daubert, Cecilia Linde
Antoine Da Costa, Karl Isaaz
Kaare Haurvig Palnum, Søren Paaske Johnsen
Wim Martinet, Guido R.Y. De Meyer
Joseph Shalhoub, Alun H. Davies
P. Christian Schulze, Wilson S. Colucci
Miguel Ángel Martínez-García, Miguel Perpiñá-Tordera
Henrik Toft Sørensen, Paolo Prandoni
Christopher Uebleis, M. Hacker
John E. Scarborough, Cynthia K. Shortell
Emil M. deGoma, Emile R. Mohler
Muhammed Z. Khawaja, David Hildick-Smith
Prabhakaran Gopalakrishnan, Tahir Tak
Jasbir Sra,Jasbir Sra
Konstantinos Filis, F. Sigala
Jessica R. Golbus, Jennifer C. Hirsch
Mohammad Q. Najib, Hari P. Chaliki
Cynthia M. Ortinau, Terrie E. Inder
Catherine K. Allan,Catherine K. Allan
Guido Boerrigter, John C. Burnett
Yael Yaniv, Edward G. Lakatta
Paul Shotbolt, Eugenii A. Rabiner
Yun Kyu Oh, Amir Lerman
Henning Steen, Hugo A. Katus
Stefan Bertog, Horst Sievert
Helen M. Heneghan, James B. Young
Matthew D. Muller, Robert P. Blankfield
Inger Ekman, Karl Swedberg
Veena Rajanna, John R. Guyton
Eric R. Bates, Dominick J. Angiolillo
Martin Schmidt, Ellen Hoffmann
Helen J. Atherton, Damian J. Tyler
Li Hong Shen, Michael Chopp
Marcel A.M. Beijk, Robbert J. de Winter
Irène Oudejans, Arno W. Hoes
Adriaan A. Voors, Michael M. Givertz
Chidambaram Natrajan Balasubramanian Harisankar, Anish Bhattacharya
Ryan J. Tedford, David A. Kass
Brandon E. Kremer, Donald E. Tsai
Theophilus I. Emeto, Jonathan Golledge
Bum Joon Kim, Sun U. Kwon
Isabelle C. Van Gelder, Paulus Kirchhof
Valentin Fuster, Joseph Sweeny
Daniel Pereda, John V. Conte
Vasim Farooq, Patrick W. Serruys
J. Jaime Miranda, Liam Smeeth
Feng Wang, Jun Gu
Colin T. Gillespie, Steven C. Springmeyer
Yasuhiko Sakata, Issei Komuro
Masakazu Ishii, Toyoaki Murohara
Jane K Stock,Jane K Stock
François Roubertie, Xavier Roques
Blair P. Grubb, Beverly Karabin
John J. Ricotta, Brajesh K. Lal
Georgios Spentzouris, Nicos Labropoulos
Shahbudin H. Rahimtoola,Shahbudin H. Rahimtoola
Sonya B. Seif-Naraghi, Karen L. Christman
Ralf Koester, Stefan Kluge
Bruce J. Kimura, Tanya Wolfson
John R. Giudicessi, Michael J. Ackerman
Sukhdeep S. Basra, Nasser Lakkis
Kiyofumi Yamada, Toru Iwama
Erica M. Jones, Sheryl Martin-Schild
G. Musso, Roberto Gambino
Richard G. Wunderink,Richard G. Wunderink
Ramil Goel, Jagat Narula
Lauren A. Beslow, Rebecca Ichord
Joseph Yat-Sun Chan, Cheuk-Man Yu
Yilong Wang, Yongjun Wang
Caroline Arquizan, Jean-Louis Mas
Shigeki Fujitani, Jeremy A. Weingarten
Christopher S. Almond, Ravi R. Thiagarajan
Vinod H. Thourani, Omar M. Lattouf
Ashkan Shoamanesh, Oscar R. Benavente
Miho Nishitani, Hiroyuki Daida
Chunhua Ding,Chunhua Ding
Joseph P. Drozda, John B. Wong
Piero Ruggenenti, Giuseppe Remuzzi
Virendra I. Patel, Richard P. Cambria
Takashi Kajiya, Theodore W. Kurtz
Sameer Ansar, Peter D. Reaven
Christopher G.A. McGregor, Guerard W. Byrne
Kazuhiro Tatsumi, Ken-ichi Hirata
Naomi Miyamatsu, Takenori Yamaguchi
Jerome Roncalli, Douglas W. Losordo
Emad F. Aziz, Eyal Herzog
Stanley S. Snowden, Robert Nelson
Onur Dur, Kerem Pekkan
Yu Ching Lin, Yu Show Fu
Sophie Mavrogeni, Denis Cokkinos
Steven M. Kawut, David A. Bluemke
N.P. Sudheesh, K.K. Janardhanan
Bettina Heidecker, Joshua M. Hare
John C. Somberg, Janos Molnar
Ole Ahlehoff, Peter Riis Hansen
Tessa S. S. Genders, M. G. Myriam Hunink
Aline Fusco Fares, Patrícia Maluf Cury
Sakthivel Sadayappan, Jeffrey Robbins
Julia Dumfarth, Martin Czerny
null De Fen Shu, Guan Jian Liu
Christophe Meune, Christian Mueller
Eivind Solheim, Jian Chen
Bahare Fazeli,  Farzadnia
Christophe Faisy, Jean-Yves Fagon
Stefan Peters, Brigitte Koehler
Carmine Musto, Roberto Violini
Salvatore Masala, Giovanni Simonetti
Adnan I. Qureshi,Adnan I. Qureshi
Carlos A. Molina, Magdy Selim
Gary L. Aistrup, J. Andrew Wasserstrom
Natalia A. Trayanova,Natalia A. Trayanova
Burke A. Cunha, Yelda Nouri
William C. Roberts, Robert F. Hebeler
Sergey Leontyev, Friedrich W. Mohr
Nita Chainani-Wu, Dean Ornish
Chiara Fraccaro, Giambattista Isabella
Giuseppe Ristagno, Yongqin Li
Roberto Galvão, Osvaldo Kohlmann
Ramon C. Hermida, José R. Fernández
Brian J. Borkowski, Karl T. Weber
Juan C. Chachques, Jorge A. Genovese
Paul A. Scott, John M. Morgan
Julie K. Johnson, Paul R. Barach
Valery L. Feigin, Rita Krishnamurthi
Peter C. Frommelt, James S. Tweddell
Edwin K. Jackson, Delbert G. Gillespie
Mirna N. Chahine, Grant N. Pierce
Marco Mussardo, Antonio Colombo
Hao Li, Cao Wuchun
Giovanni La Canna, Ottavio Alfieri
Luis Maroto, José E. Rodríguez
Nelson Paulo, Luís Vouga
Coleen M. Atkins,Coleen M. Atkins
Maarten de Mulder, Victor A. Umans
Hein J.J. Wellens, Anton P.M. Gorgels
Orhan Oyar, Arzu Kislalioglu
Wojciech Kosmala, Thomas H. Marwick
Susanna C. Larsson, Nicola Orsini
Marina Dijos, Stephane Lafitte
Bryony M. Mearns,Bryony M. Mearns
